[    5104ms] NetworkError: Failed to execute 'importScripts' on 'WorkerGlobalScope': The script at 'https://sre//speech-worker.js' failed to load.
    at blob:https://learn.deepolylink.com/58f08fa1-98fa-4836-bcd8-510d3ba6653f:3:7
[10626788ms] [LOG] onstatechange @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:29
[10635319ms] [WARNING] wasm streaming compile failed: TypeError: Failed to execute 'compile' on 'WebAssembly': Incorrect response MIME type. Expected 'application/wasm'. @ https://learn.deepolylink.com/js_source/loadMode1.js:486
[10635320ms] [WARNING] falling back to ArrayBuffer instantiation @ https://learn.deepolylink.com/js_source/loadMode1.js:487
[10643236ms] [WARNING] wasm streaming compile failed: TypeError: Failed to execute 'compile' on 'WebAssembly': Incorrect response MIME type. Expected 'application/wasm'. @ https://learn.deepolylink.com/js_source/loadMode2.js:486
[10643236ms] [WARNING] falling back to ArrayBuffer instantiation @ https://learn.deepolylink.com/js_source/loadMode2.js:487
[10644482ms] [LOG] loaddata @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:30
[10644800ms] [WARNING] The ScriptProcessorNode is deprecated. Use AudioWorkletNode instead. (https://bit.ly/audio-worklet) @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:29
[10646500ms] [LOG] socketVoice open @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10655132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10660132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10665132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10670131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10675137ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10680140ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10685131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10690132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10695132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10700131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10705132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10710132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10715133ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10720132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10725131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10730132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10735132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10740132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10745132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10750132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10755132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10760132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10765132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10770131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10775133ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10780132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10785132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10790132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10795132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10800131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10805132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10810139ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10815139ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10820132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10825132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10830131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10835131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10840132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10845131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10850139ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10855136ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10860138ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10865138ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10870131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10875132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10880131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10885131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10890131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10895132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10900132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10905132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10910137ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10915140ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10920132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10925132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10930131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10935131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10940132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10945131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
